,report,date,transcript_source
404,22159143.0,2013-07-11,0
407,22159563.0,2013-07-11,0
410,22259049.0,2013-07-25,0
411,22259050.0,2013-07-25,0
412,22695828.0,2013-10-24,0
413,22696702.0,2013-10-24,0
414,22845515.0,2013-11-14,0
418,23151960.0,2014-01-23,0
420,23152275.0,2014-01-23,0
421,23412836.0,2014-03-10,0
422,23655813.0,2014-04-25,0
424,23655816.0,2014-04-25,0
426,24227953.0,2014-07-24,0
429,24228926.0,2014-07-24,0
432,24484247.0,2014-09-03,0
434,24745335.0,2014-10-23,0
437,24746300.0,2014-10-23,0
441,25040751.0,2014-12-04,0
445,25293387.0,2015-01-22,0
449,25293802.0,2015-01-22,0
452,25887336.0,2015-04-23,0
455,25887556.0,2015-04-23,0
457,26080633.0,2015-05-14,0
460,26098868.0,2015-05-19,0
461,26573479.0,2015-07-23,0
464,26574804.0,2015-07-23,0
466,26942166.0,2015-09-09,0
467,27222429.0,2015-10-22,0
472,27222705.0,2015-10-22,0
479,27669726.0,2015-12-03,0
483,28029846.0,2016-01-21,0
485,28030739.0,2016-01-21,0
487,28631296.0,2016-03-08,0
488,29054317.0,2016-04-04,0
489,29177141.0,2016-04-21,0
491,29177671.0,2016-04-21,0
493,29783937.0,2016-07-21,0
495,29784472.0,2016-07-21,0
497,61319489.0,2016-10-20,0
499,61325680.0,2016-10-20,0
501,62022161.0,2017-02-08,0
502,62022512.0,2017-02-08,0
503,62327072.0,2017-03-29,0
507,62581391.0,2017-05-04,0
509,63064900.0,2017-07-26,0
511,63065330.0,2017-07-26,0
512,64921586.0,2018-05-03,0
513,65446467.0,2018-07-26,0
514,65447567.0,2018-07-26,0
516,66260049.0,2018-11-27,0
519,66603005.0,2019-01-24,0
521,66603492.0,2019-01-24,0
522,66881350.0,2019-03-05,0
523,67311970.0,2019-05-09,0
524,68177991.0,2019-10-24,0
526,68178355.0,2019-10-24,0
528,68744223.0,2020-01-28,0
531,68744796.0,2020-01-28,0
535,71325053.0,2021-01-26,0
537,616413.0,2002-04-25,1
538,10868460.0,2006-01-10,0
539,13735453.0,2008-07-28,0
540,13735654.0,2008-07-28,0
541,11179465.0,2006-05-02,0
542,11931156.0,2007-01-31,0
543,12191832.0,2007-04-24,0
544,21428352.0,2013-02-07,0
546,22794715.0,2013-11-06,0
547,23339839.0,2014-02-25,0
548,28474231.0,2016-02-23,0
550,61474401.0,2016-11-07,0
551,69349251.0,2020-04-23,0
553,69439154.0,2020-05-05,0
555,70148559.0,2020-08-05,0
556,22318502.0,2013-08-06,0
557,22768402.0,2013-11-05,0
558,13824099.0,2008-08-14,0
559,14446422.0,2009-02-12,0
560,15199352.0,2009-08-14,0
561,12875100.0,2007-11-21,0
562,13484697.0,2008-05-14,0
563,13485252.0,2008-05-14,0
564,15646834.0,2009-12-12,0
567,16526387.0,2010-08-18,0
568,2338940.0,2020-01-14,2
569,72054333.0,2021-05-05,0
570,72712009.0,2021-08-05,0
571,18182403.0,2012-07-03,0
572,23954097.0,2014-06-10,0
573,66179015.0,2018-11-08,0
580,68886002.0,2020-02-13,0
583,72124764.0,2021-05-14,0
585,8912252.0,2003-12-22,0
587,8912295.0,2003-12-22,0
589,10503197.0,2005-07-29,0
590,10711792.0,2005-10-28,0
591,10958405.0,2006-02-10,0
593,11166929.0,2006-04-28,0
594,13754366.0,2008-07-31,0
595,13754739.0,2008-07-31,0
596,13755600.0,2008-07-31,0
597,8722164.0,2003-01-31,0
598,8726161.0,2003-04-17,0
599,8901491.0,2003-07-17,0
600,8912067.0,2003-12-16,0
603,8912175.0,2003-12-16,0
606,24695432.0,2004-09-09,0
607,943484.0,2004-09-20,1
608,9873962.0,2004-10-20,0
609,10005715.0,2004-12-13,0
610,10088385.0,2005-01-28,0
613,10679188.0,2005-10-19,0
614,10823089.0,2005-12-14,0
615,10909668.0,2006-01-26,0
617,11833596.0,2006-12-14,0
618,12191188.0,2007-04-20,0
619,27484647.0,2007-11-08,0
620,12943760.0,2007-12-13,0
621,12944479.0,2007-12-13,0
622,13057544.0,2008-01-25,0
623,13061456.0,2008-01-25,0
624,1844721.0,2008-05-19,1
626,14252469.0,2008-12-15,0
